metrical_shape,sedes,x,z
⏑⏑–⏑⏑–,4,61,-1.43929072441198
⏑⏑–⏑⏑–,6,107,-1.08388502411828
⏑⏑–⏑⏑–,8,37,-1.62471978543478
⏑⏑–⏑⏑––,8,163,
⏑⏑–⏑⏑–––,2,1,
⏑⏑–⏑⏑–⏑,2,48,-1.09924216318941
⏑⏑–⏑⏑–⏑,6,58,+0.909717652294685
⏑⏑–⏑⏑–⏑⏑,2,1,-2.50106360353674
⏑⏑–⏑⏑–⏑⏑,4,4,-0.535942200757872
⏑⏑–⏑⏑–⏑⏑,6,6,+0.774138734428038
⏑⏑–⏑⏑–⏑⏑–,2,1,
⏑⏑–⏑⏑–⏑⏑––,6,9,
